epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,549.546,0.71577,2.24738,0.85102,0.94395,0.92257,0.97462,0.89621,0.37578,0.54458,0.78685,8.32084e-05,8.32084e-05,8.32084e-05
2,1062.46,0.39942,0.54344,0.79245,0.99204,0.9867,0.99433,0.94223,0.31561,0.36037,0.77407,0.000163244,0.000163244,0.000163244
3,1535.98,0.33659,0.41919,0.78311,0.99543,0.98993,0.99486,0.9688,0.24504,0.29963,0.76922,0.00023998,0.00023998,0.00023998
4,1956.68,0.30542,0.37101,0.77872,0.99555,0.99074,0.99479,0.97204,0.236,0.28586,0.76873,0.00023515,0.00023515,0.00023515
5,2364.93,0.30194,0.34685,0.77752,0.99697,0.99369,0.99488,0.97598,0.21733,0.26249,0.76669,0.0002302,0.0002302,0.0002302
6,2763.78,0.27303,0.31863,0.77472,0.9971,0.9945,0.99493,0.98001,0.20622,0.24837,0.76524,0.00022525,0.00022525,0.00022525
7,3148.22,0.25872,0.30232,0.77336,0.99756,0.99416,0.99496,0.98068,0.19864,0.23564,0.76514,0.0002203,0.0002203,0.0002203
8,3542.71,0.24127,0.28497,0.77134,0.99716,0.99462,0.9949,0.9822,0.1888,0.22823,0.76447,0.00021535,0.00021535,0.00021535
9,3936.93,0.23201,0.27066,0.77158,0.99829,0.99473,0.99493,0.98371,0.17997,0.20303,0.76388,0.0002104,0.0002104,0.0002104
10,4317.87,0.22711,0.25929,0.77062,0.99848,0.9949,0.99486,0.98263,0.18533,0.20221,0.76433,0.00020545,0.00020545,0.00020545
11,4692.58,0.22597,0.2501,0.77029,0.99761,0.99573,0.99497,0.98519,0.1883,0.20007,0.7639,0.0002005,0.0002005,0.0002005
12,5051.05,0.21286,0.24001,0.76955,0.99866,0.99489,0.99495,0.985,0.17944,0.19355,0.76303,0.00019555,0.00019555,0.00019555
13,5419.19,0.2092,0.23195,0.76801,0.99812,0.99596,0.99499,0.98638,0.16651,0.18491,0.76238,0.0001906,0.0001906,0.0001906
14,5782.82,0.20336,0.22397,0.7683,0.99795,0.99575,0.99496,0.98505,0.17988,0.17887,0.7627,0.00018565,0.00018565,0.00018565
15,6156.63,0.19658,0.21676,0.76713,0.99833,0.99552,0.99494,0.98726,0.17152,0.1733,0.76183,0.0001807,0.0001807,0.0001807
16,6533.13,0.195,0.21071,0.76673,0.9977,0.99619,0.99499,0.98673,0.17304,0.17069,0.76208,0.00017575,0.00017575,0.00017575
17,6899.3,0.18865,0.20236,0.76666,0.99748,0.99626,0.9949,0.98697,0.1736,0.16629,0.76191,0.0001708,0.0001708,0.0001708
18,7262.53,0.18685,0.19931,0.76521,0.99837,0.99578,0.99495,0.98771,0.16805,0.16214,0.76145,0.00016585,0.00016585,0.00016585
19,7627.84,0.18247,0.1927,0.76525,0.99779,0.99654,0.99496,0.98839,0.1635,0.15839,0.76067,0.0001609,0.0001609,0.0001609
20,7994.1,0.17901,0.18838,0.76559,0.99833,0.9955,0.99482,0.98779,0.17048,0.15926,0.76123,0.00015595,0.00015595,0.00015595
21,8359.67,0.17937,0.18553,0.76478,0.99907,0.99453,0.99499,0.98865,0.16482,0.15456,0.76071,0.000151,0.000151,0.000151
22,8737.35,0.17192,0.18059,0.76438,0.99877,0.99523,0.99495,0.98672,0.18268,0.1566,0.76135,0.00014605,0.00014605,0.00014605
23,9108.35,0.17056,0.17679,0.76525,0.99858,0.99563,0.99499,0.98907,0.17705,0.15326,0.76101,0.0001411,0.0001411,0.0001411
24,9492.77,0.16718,0.17366,0.76433,0.99772,0.99597,0.99497,0.98864,0.18529,0.15104,0.76109,0.00013615,0.00013615,0.00013615
25,9853.6,0.1666,0.17025,0.76403,0.99828,0.99614,0.995,0.98855,0.18014,0.14942,0.7608,0.0001312,0.0001312,0.0001312
26,10207.6,0.16376,0.16748,0.76476,0.99821,0.99565,0.99495,0.98963,0.1716,0.1457,0.76034,0.00012625,0.00012625,0.00012625
27,10568.9,0.16091,0.16458,0.76337,0.99768,0.99609,0.99494,0.98832,0.18364,0.14715,0.76105,0.0001213,0.0001213,0.0001213
28,10928.7,0.15974,0.16197,0.76363,0.99848,0.99591,0.99492,0.98953,0.16875,0.14177,0.76014,0.00011635,0.00011635,0.00011635
29,11292.4,0.15775,0.16063,0.76343,0.99818,0.99628,0.995,0.98871,0.17943,0.14238,0.76076,0.0001114,0.0001114,0.0001114
30,11646,0.15601,0.15724,0.76305,0.99826,0.99594,0.99498,0.98653,0.179,0.14129,0.76117,0.00010645,0.00010645,0.00010645
31,11993.2,0.15654,0.1551,0.76321,0.99761,0.99686,0.99499,0.98989,0.17976,0.13974,0.76052,0.0001015,0.0001015,0.0001015
32,12342.7,0.1531,0.15329,0.76365,0.99861,0.99586,0.99499,0.98863,0.18178,0.14119,0.76052,9.655e-05,9.655e-05,9.655e-05
33,12683,0.15274,0.15137,0.76325,0.99829,0.99575,0.99496,0.98888,0.17731,0.13786,0.76048,9.16e-05,9.16e-05,9.16e-05
34,13026.3,0.14987,0.15017,0.76298,0.99815,0.99631,0.99498,0.98288,0.19609,0.14111,0.76255,8.665e-05,8.665e-05,8.665e-05
35,13378.2,0.14906,0.14847,0.76255,0.99799,0.99616,0.99499,0.98639,0.19575,0.14027,0.76206,8.17e-05,8.17e-05,8.17e-05
36,13736.7,0.14675,0.14654,0.76273,0.99796,0.9964,0.99497,0.97447,0.23503,0.14931,0.7655,7.675e-05,7.675e-05,7.675e-05
37,14107.9,0.14571,0.1441,0.76209,0.99867,0.99568,0.99497,0.97207,0.24222,0.15072,0.76615,7.18e-05,7.18e-05,7.18e-05
38,14475,0.14474,0.14351,0.76219,0.99837,0.99607,0.995,0.97825,0.23367,0.1476,0.76494,6.685e-05,6.685e-05,6.685e-05
39,14848.1,0.14191,0.1414,0.76209,0.99808,0.9964,0.995,0.96866,0.26059,0.15405,0.7676,6.19e-05,6.19e-05,6.19e-05
40,15218.4,0.14044,0.13898,0.76152,0.99813,0.99635,0.99499,0.96988,0.25144,0.15128,0.767,5.695e-05,5.695e-05,5.695e-05
41,15578.4,0.13975,0.13827,0.76186,0.9988,0.99573,0.99498,0.96637,0.26825,0.15574,0.76776,5.2e-05,5.2e-05,5.2e-05
42,15940.3,0.1379,0.13701,0.76092,0.99855,0.99625,0.99499,0.97399,0.24254,0.14862,0.76543,4.705e-05,4.705e-05,4.705e-05
43,16300.9,0.13759,0.13615,0.76207,0.99881,0.99595,0.99499,0.97434,0.25073,0.14952,0.76692,4.21e-05,4.21e-05,4.21e-05
44,16670.7,0.13553,0.13421,0.76124,0.99818,0.99651,0.99495,0.98176,0.22624,0.14282,0.76369,3.715e-05,3.715e-05,3.715e-05
45,17029.7,0.13511,0.13349,0.7606,0.99841,0.99594,0.99499,0.97733,0.24663,0.14766,0.76587,3.22e-05,3.22e-05,3.22e-05
46,17387.1,0.13296,0.13226,0.76079,0.99904,0.99595,0.99498,0.95762,0.3026,0.16183,0.77105,2.725e-05,2.725e-05,2.725e-05
